business_id,business_name,business_url,location,is_business_closed,year_established,overall_rating,num_reviews,menu_url,menu_items_scraped_flag,price_range,phone_number,num_reviews_5_stars,num_reviews_4_stars,num_reviews_3_stars,num_reviews_2_stars,num_reviews_1_star,address_line1,city,region_code,postal_code,country_code,categories,top_food_items,monthly_ratings_by_year
TsWXWXQMX_54FijuamuSEA,Zuki’s Pita,/biz/zukis-pita-phoenix,"Phoenix, AZ",0,,5,90,/menu/zukis-pita-phoenix,1,Under $10,(602) 347-1111,88,1,1,0,0,4522 N 19th Ave,Phoenix,AZ,85015,US,"{Mediterranean,Greek}","{greek salad,falafel sandwich,beef kabob plate,beef shawarma plate,zuki combo}","{""2019"": [[10, 5], [11, 5]], ""2020"": [[0, 5], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5]]}"
ErHMVkPstNyefb3ZU_z1Cw,zpizza - Phoenix Midtown,/biz/zpizza-phoenix-midtown-phoenix,"Phoenix, AZ",1,,3.5,276,/menu/zpizza-phoenix-midtown-phoenix,1,Under $10,(602) 583-7002,76,78,42,37,43,53 W Thomas Rd,Phoenix,AZ,85013,US,{Pizza},{},"{""2016"": [[0, 2], [1, 2], [2, 2.5], [3, 2.5], [4, 3], [5, 3], [6, 3.5], [7, 3.5], [8, 4], [9, 4], [10, 4], [11, 4]], ""2017"": [[0, 4], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3], [6, 3], [7, 3], [8, 4], [9, 4], [10, 3.5], [11, 3.5]], ""2018"": [[0, 3], [1, 3], [2, 2.5], [3, 2.5], [4, 2.5], [5, 2.5], [6, 2.5], [7, 2.5], [8, 2.5], [9, 2.5], [10, 2.5], [11, 2.5]], ""2019"": [[0, 3], [1, 3], [2, 3.5], [3, 4], [4, 4], [5, 4.5], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 3.5]], ""2020"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5]]}"
PaYHG4FkH4-tUX_wfYEbcg,Zoes Kitchen,/biz/zoes-kitchen-scottsdale-15,"Phoenix, AZ",1,,4,219,/menu/zoes-kitchen-scottsdale-15,1,Under $10,(480) 947-3288,94,67,19,17,22,7135 E Camelback Rd,Scottsdale,AZ,85251,US,"{Greek,Mediterranean,Sandwiches}",{},"{""2016"": [[0, 3.5], [1, 3.5], [2, 4], [3, 4], [4, 3.5], [5, 3.5], [6, 3], [7, 3], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2017"": [[0, 4], [1, 4.5], [2, 4.5], [3, 4], [4, 4], [5, 3], [6, 3], [7, 3], [8, 2.5], [9, 3], [10, 3], [11, 3]], ""2018"": [[0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3.5]], ""2019"": [[0, 3.5], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [10, 4], [11, 3.5]], ""2020"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]}"
e880MGw6C6PJL-n3EJoY_g,Zoes Kitchen,/biz/zoes-kitchen-phoenix-27,"Phoenix, AZ",1,1995,3.5,209,/menu/zoes-kitchen-phoenix-27,1,Under $10,(602) 716-0070,61,59,37,29,23,521 W McDowell,Phoenix,AZ,85003,US,"{Sandwiches,Mediterranean,Greek}",{},"{""2016"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4], [8, 4], [9, 4.5], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4], [10, 3.5], [11, 3.5]], ""2018"": [[0, 3.5], [1, 3], [2, 2.5], [3, 2.5], [4, 2.5], [5, 3], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2019"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4.5]], ""2020"": [[0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]}"
U1g7IHZcnRmOc2m3mvWNig,Zoes Kitchen,/biz/zoes-kitchen-phoenix-26,"Phoenix, AZ",0,1995,3.5,217,/menu/zoes-kitchen-phoenix-26/main-menu,1,$11-30,(602) 263-9637,56,64,33,34,30,1641 E Camelback Rd,Phoenix,AZ,85016,US,"{Sandwiches,Greek,Mediterranean}","{greek salad,chicken kabobs,greek chicken pita,steak roll ups,lean turkey pita,mediterranean chicken}","{""2016"": [[0, 3.5], [1, 4.5], [2, 4.5], [3, 4.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3.5], [10, 3.5], [11, 3.5]], ""2017"": [[0, 3.5], [1, 3.5], [2, 4.5], [3, 4], [4, 4], [5, 3], [6, 3], [7, 2.5], [8, 2.5], [9, 2.5], [10, 2.5], [11, 2.5]], ""2018"": [[0, 3], [1, 3], [2, 2.5], [3, 3], [4, 3], [5, 3], [6, 4], [7, 4], [8, 4], [9, 4], [10, 3.5], [11, 3.5]], ""2019"": [[0, 3.5], [1, 2.5], [2, 2.5], [3, 2.5], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3]], ""2020"": [[0, 3], [1, 3.5], [2, 4], [3, 4], [4, 4], [5, 3.5], [6, 3.5], [7, 2.5], [8, 2.5], [9, 2.5]]}"
wzw3aysUi9sBq-wLb6OXbQ,Zizi’s Cafe,/biz/zizis-cafe-chicago,"Chicago, IL",0,2012,4.5,606,/menu/zizis-cafe-chicago,0,$11-30,(773) 697-9228,423,107,35,24,17,2825 N Sheffield Ave,Chicago,IL,60657,US,"{Mediterranean,Turkish,Kebab}","{carrot spread,red lentil soup,lahmacun,baklava,doner sandwich,combo platter,adana kebab platter,chicken kebab platter,turkish feta salad,kazandibi}","{""2016"": [[0, 4.5], [1, 4.5], [2, 3.5], [3, 4.5], [4, 4.5], [5, 5], [6, 5], [7, 5], [8, 4.5], [9, 4], [10, 4.5], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4], [2, 4.5], [3, 5], [4, 4.5], [5, 4.5], [6, 5], [7, 5], [8, 4.5], [9, 4.5], [10, 5], [11, 5]], ""2018"": [[0, 5], [1, 5], [2, 4.5], [3, 4.5], [4, 5], [5, 4.5], [6, 4.5], [7, 4], [8, 4], [9, 4.5], [10, 4.5], [11, 4.5]], ""2019"": [[0, 4], [1, 4.5], [2, 4.5], [3, 5], [4, 5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 5], [10, 5], [11, 5]], ""2020"": [[0, 5], [1, 5], [2, 4.5], [3, 4.5], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4], [8, 4], [9, 4]]}"
rOKEgdzmhzT99Ob_OmPE0Q,Zipps Sports Grill,/biz/zipps-sports-grill-phoenix,"Phoenix, AZ",0,,3,283,/menu/zipps-sports-grill-phoenix,1,$11-30,(602) 957-2112,55,61,39,40,88,3647 E Indian School Rd,Phoenix,AZ,85018,US,"{Sports Bars,American (Traditional),Venues & Event Spaces}","{cookie skillets,chicken skewers,tacos}","{""2016"": [[0, 2.5], [1, 2.5], [2, 2], [3, 2], [4, 1.5], [5, 2.5], [6, 2.5], [7, 2.5], [8, 2.5], [9, 2.5], [10, 2], [11, 2]], ""2017"": [[0, 2.5], [1, 2.5], [2, 3], [3, 3], [4, 3], [5, 3], [6, 2.5], [7, 2], [8, 2.5], [9, 2.5], [10, 2.5], [11, 3]], ""2018"": [[0, 3], [1, 3], [2, 3], [3, 3], [4, 2.5], [5, 2.5], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3.5]], ""2019"": [[0, 3.5], [1, 3.5], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 4], [7, 3], [8, 3], [9, 2], [10, 3], [11, 2.5]], ""2020"": [[0, 3], [1, 3], [2, 2.5], [3, 2.5], [4, 2], [5, 1.5], [6, 1.5], [7, 2], [8, 2.5], [9, 3.5]]}"
#NAME?,Zinburger,/biz/zinburger-phoenix,"Phoenix, AZ",0,,4,863,/menu/zinburger-phoenix,1,$11-30,(602) 424-9500,322,285,156,68,32,2502 E Camelback Rd,Phoenix,AZ,85016,US,"{Burgers,American (New),Cocktail Bars}","{kobe burger,el diablo burger,double truffle,turkey burger,veggie burger,kobe beef,bruce lee burger,green chili,farm salad,sam fox}","{""2016"": [[0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4.5], [6, 3.5], [7, 4.5], [8, 3.5], [9, 3.5], [10, 5], [11, 4.5]], ""2017"": [[0, 4.5], [1, 4], [2, 4.5], [3, 4], [4, 4.5], [5, 4.5], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4]], ""2018"": [[0, 4], [1, 4.5], [2, 4], [3, 4], [4, 4], [5, 4], [6, 3], [7, 3.5], [8, 4], [9, 4.5], [10, 3.5], [11, 4]], ""2019"": [[0, 4], [1, 3.5], [2, 4], [3, 4.5], [4, 4], [5, 4], [6, 4.5], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4.5], [11, 4.5]], ""2020"": [[0, 4], [1, 3.5], [2, 4], [3, 4], [4, 4], [5, 4.5], [6, 4], [7, 4], [8, 4], [9, 4]]}"
20TU34Z_mH4qbk_kTqNpTg,Ziggys Magic Pizza Shop,/biz/ziggys-magic-pizza-shop-phoenix,"Phoenix, AZ",0,2019,4,72,/menu/ziggys-magic-pizza-shop-phoenix,1,Under $10,(602) 354-3004,41,15,3,3,10,401 W Van Buren St,Phoenix,AZ,85003,US,{Pizza},{},"{""2019"": [[8, 3.5], [9, 4], [10, 4.5], [11, 4]], ""2020"": [[0, 4.5], [1, 4], [2, 3.5], [3, 3.5], [4, 3.5], [5, 3.5], [6, 3.5], [7, 4], [8, 3.5], [9, 3.5]]}"
d6UbRb9W5eA1yL-DuVZ8ug,ZED451,/biz/zed451-chicago,"Chicago, IL",1,,4,1421,/menu/zed451-chicago/announcement,0,$31-60,(312) 266-6691,597,414,176,112,123,739 N Clark St,Chicago,IL,60654,US,"{Brazilian,Steakhouses,Lounges}",{},"{""2016"": [[0, 4], [1, 3.5], [2, 3.5], [3, 4], [4, 3.5], [5, 3], [6, 3], [7, 4.5], [8, 4.5], [9, 4.5], [10, 4], [11, 3]], ""2017"": [[0, 3], [1, 3.5], [2, 4], [3, 5], [4, 3.5], [5, 4.5], [6, 4.5], [7, 4], [8, 4], [9, 4.5], [10, 4], [11, 4]], ""2018"": [[0, 4], [1, 4], [2, 4.5], [3, 4], [4, 4], [5, 4], [6, 3.5], [7, 3.5], [8, 3.5], [9, 3], [10, 4], [11, 4.5]], ""2019"": [[0, 4.5], [1, 4], [2, 4.5], [3, 4.5], [4, 3.5], [5, 2.5], [6, 3.5], [7, 3.5], [8, 3.5], [9, 4], [10, 4], [11, 4]], ""2020"": [[0, 3.5], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]}"
